policy_id,title,department,category,security_domain,classification,risk_level,owner,effective_date,review_date,word_count,char_count,sha256,filepath,keywords
ADM-AST-011,Asset Inventory Procedure,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-06-10,2027-06-10,245,2651,a5531526dfca109879b675cbf642acd8a290d979ed9cfdb0a225808cbed4e37f,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-011.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-012,Asset Management Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-03-31,2027-03-31,247,2655,bb6bb851107c407ae872402def77604e088646db3dbca3a20a7b8cfad9dcbf5a,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-012.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-013,IT Asset Lifecycle Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-01-28,2027-01-28,247,2640,ba45db3302bac80cca251a9a95b8a052a420eef2b062d5587816852e88d07aec,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-013.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-014,Enterprise Asset Standard,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-05-29,2027-05-29,249,2673,70760b3dfb5cd78c02f4b543515836806cfffd3cd946a9a9a551d9d7b690d983,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-014.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-015,IT Asset Lifecycle Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-01-18,2027-01-18,247,2651,96d505f9913bb7e44a68300b7d164945ad83b1ea6bb9447306ea697877618800,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-015.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-016,Enterprise Asset Standard,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-06-27,2027-06-27,247,2651,f4ab7bb9d1f44f123b92abf06e7997e72f73714f1039b86cd017d7f06e1aa62b,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-016.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-017,Asset Protection Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-05-27,2027-05-27,250,2686,02ab04426236a716422ee94c833680db25d0a38d5e5b1efaf13eaec867ddb667,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-017.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-018,Enterprise Asset Standard,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-06-05,2027-06-05,246,2668,f57b889f2a42eeb01d904c60444baeb1bc8c40b59f435801621e2ecc54d0cd32,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-018.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-019,IT Asset Lifecycle Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-06-11,2027-06-11,249,2675,08e2f02b649fc7b4b7b6bf7e6f76d67ed1d6ccb16ba14058d4ddc10f65c996dd,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-019.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-020,Asset Management Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-01-31,2027-01-31,250,2673,4521ee9612a669fda0663a4cc2d8399bf1b560d5c245615c5a82e63233a1ec4a,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-020.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-021,Enterprise Asset Standard,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-01-12,2027-01-12,246,2665,8be51a8224d7d30421f4b6e1fcbdfd69758e7a48d1a1812f8467c648d230bad4,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-021.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-022,Enterprise Asset Standard,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-01-18,2027-01-18,246,2665,422cca8c4b4f562978224557f313d28c3ef501d96f774f817d38d3d117300b6f,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-022.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-023,Asset Protection Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-04-12,2027-04-12,250,2668,c6bee829f7de2ff338b380a496a26592155a7c68b65ae8aa943ee7b636f33441,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-023.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-024,IT Asset Lifecycle Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-06-22,2027-06-22,247,2658,1b487822c83e4ded2b06ce27ad9bb039841efec164fd6657aa3cc8d61d9e3b7d,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-024.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-025,Asset Inventory Procedure,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-04-28,2027-04-28,245,2651,ad3b1313bbb1935c447bbc3ade81679a9ad08b16528c7e0f1a32b21ff7e3bab9,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-025.txt,"asset, device, hardware, inventory, lifecycle"
ADM-PSC-001,Corporate Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-02-22,2027-02-22,245,2686,620031f747ef6412dd08a3b59acef731e6ff4399709676f455e15c3976d1e60f,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-001.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-002,Corporate Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-04-07,2027-04-07,248,2692,75a357bf1e45bce984a1f927c17fdcd48f6806019e78e07aa0c19c21861613fc,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-002.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-003,Infrastructure Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-02-21,2027-02-21,243,2671,793e338ed317d45d57204d3e81c4745aa31036b4d6277f904b8b75d6bebef3de,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-003.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-004,Infrastructure Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-04-10,2027-04-10,247,2683,2a89c70016d130a1a15f2bcebbd17666a375c61c8304e196c0c7e292542ccd6a,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-004.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-005,Physical Protection Standard,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-03-01,2027-03-01,248,2689,b141ab385c151cf82cd07a2a3f20dc778977e06f7255e6d284af8a1c0584f048,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-005.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-006,Facility Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-02-17,2027-02-17,245,2674,2f5ac16cd5a809c35ca68334b2e8f7b293248d55fb7442659cfe5373003f4f7c,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-006.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-007,Building Access Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-05-16,2027-05-16,248,2703,7b5c972044a45747efe28fd32528577e18e58f21514f5ffb2c0d229b1cbd2349,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-007.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-008,Building Access Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-06-25,2027-06-25,250,2706,72c1a1c71d48f406b1c84b1447c395a47b7fc0ff94b8956631c6b142072b5b78,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-008.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-009,Building Access Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-06-10,2027-06-10,247,2680,568aeea7be1e1cea951f26651a53c8d4ee9c0277157866f078379188edbf2822,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-009.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-010,Physical Protection Standard,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-03-29,2027-03-29,244,2682,de9faf1b2040393f921dc4029fe5525f6b8ba53591a18906563961e182f5d8e5,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-010.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-011,Corporate Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-03-03,2027-03-03,248,2689,c80aec630724ad2ff3e8b4bf92a21642a9f3140390b80bca2da874f49f6c660b,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-011.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-012,Facility Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-05-19,2027-05-19,249,2697,295f7ce0a212440d971c3b90c0fa9c5600cf18d2607cf136e3c033b4141748fc,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-012.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-013,Infrastructure Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-03-21,2027-03-21,246,2695,c728b18a6ddd53205ac8b52f4abe7e7b48a0fbce7c5a07508bbc7d963ded754a,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-013.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-014,Corporate Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-01-18,2027-01-18,247,2691,82cd2f55f24593fd3f87d80f3bc355bd10fca6f2ce665813883581917cb798b8,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-014.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-015,Physical Protection Standard,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-03-23,2027-03-23,246,2688,7283d871842425ccabe109f392b7468706f2b07ce6a4d89a845e9a9f0bf86cda,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-015.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-016,Facility Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-01-28,2027-01-28,247,2686,0b680b1be8d31a0a58cc6215732733e92db7edd7ae37349a4c6b4fdd937a79d8,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-016.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-017,Facility Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-06-02,2027-06-02,244,2672,fb564d01557bcfe15277f0b6520b117f58cee066c3fa3293dc62d091c31509f8,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-017.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-018,Corporate Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-05-09,2027-05-09,244,2670,10fbc3123a3d55cb391240639e5ed12608afee88b149f21e21266c6f817d3c9b,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-018.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-019,Facility Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-02-05,2027-02-05,250,2707,01d8a2830fa6ca6a635868d4fc0d3c6a3cc75f9832065d159e875340d2f5d615,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-019.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-020,Facility Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-04-16,2027-04-16,245,2664,2f58285c3f608e8211875c9c070c827cddcea21eb2f8be0bca2ac875b9a32dc9,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-020.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-021,Building Access Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-06-26,2027-06-26,245,2665,c173b7cf2ef1b4e687722841a10a9d81d8ec45f50b3723f532649e3b3439275c,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-021.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-022,Physical Protection Standard,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-03-22,2027-03-22,247,2687,40afc00835a67454b9798fdccd055774a1cb0b51445ba01d059a76b01f9354f1,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-022.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-023,Physical Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-05-14,2027-05-14,249,2692,37e1ab7681ef30b85f46903e0bf66d5f01f2c5145da3f3580f8a83934529300b,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-023.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-024,Corporate Security Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-01-11,2027-01-11,250,2709,1253cdf1959b67448341fc6b029128c6bf0be80c86ce601ed417f6eea2d529ef,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-024.txt,"asset, building, facility, physical security, visitor"
ADM-PSC-025,Building Access Policy,Administration,Physical_Security,Facility Security,Confidential,High,Corporate Security,2026-04-12,2027-04-12,243,2666,65e085c01ebea6366b6faaefc84b0cdf0890b01ae0118d90fb25548042339a97,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Physical_Security\ADM-PSC-025.txt,"asset, building, facility, physical security, visitor"
ADM-VIS-001,Facility Visitor Standard,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-05-21,2027-05-21,250,2715,1389cb1098acf5de46c6a1510c37873ea8f6daee88ca3ab97b08ca634a57b60e,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-001.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-002,Corporate Visitor Procedure,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-03-03,2027-03-03,253,2727,ee99dbd28c92b0b06731ac83fd3d4f2cd8639590d496beb16f048dffcbca0c73,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-002.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-003,Visitor Registration Policy,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-04-03,2027-04-03,249,2701,53a9e74aed14aca8c2a2292ad56b2429637f0427f452ee7205aff66e04d813f0,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-003.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-004,Visitor Management Policy,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-06-02,2027-06-02,249,2699,49f87fe505476acc02a1f6808b68a00f26fff1325819dcf4c3a708f7abaeefb6,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-004.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-005,Facility Visitor Standard,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-02-24,2027-02-24,245,2687,3fb389b002d88e38cefccd510f58b84d56c11c0ce743432caf8e8f8d0f62b377,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-005.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-006,Corporate Visitor Procedure,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-05-27,2027-05-27,253,2732,f2651ff26f2b4ea16d72b79d57d4b5fbd48b5b82cb997b8aeb11fb237938b306,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-006.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-007,Facility Visitor Standard,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-02-05,2027-02-05,248,2688,0f1f8eb42cd580374542bd7e678a245969af085cbcecb1efbaa9b9adec0729aa,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-007.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-008,Corporate Visitor Procedure,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-01-24,2027-01-24,249,2699,8f8de17ed40619e3da3eaad9738ac58d7f6bc3f134cbb980a1a38e33633cbbc0,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-008.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-009,Guest Access Policy,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-05-04,2027-05-04,252,2719,fad23c71876f7f9e6d09c9ec5f619e03cd96328bbbd6160f6e52c43c876ba25f,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-009.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-010,Visitor Management Policy,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-03-18,2027-03-18,247,2689,54465a4d47edff98c66f48f68781921dfbb3970f9fe281aa2822ea9964a78d32,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-010.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-011,Visitor Registration Policy,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-03-31,2027-03-31,253,2726,ec27276d142701a1098a3240492826843968898e1beeb94bc493188282ff26dd,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-011.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-012,Reception Security Policy,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-01-03,2027-01-03,247,2692,4b2a27a81089fa02503c2ed083c183b33cc36310009de6587c2805edc4ad72b9,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-012.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-013,Corporate Visitor Procedure,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-05-19,2027-05-19,249,2719,ce2c389afd24b19754ae20aed1a1ac9f808ebee0aa13dcd5819373d424c626f2,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-013.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-014,Reception Security Policy,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-01-13,2027-01-13,251,2725,be77b49571b385fc73c568679aa1d78bafe938a16bfab1e766af2df455907fb2,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-014.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-015,Visitor Registration Policy,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-02-26,2027-02-26,251,2728,7acfc6478f24ae4573c6bb205d6c30c2b3f523a9324ed4069f724bb617cb2d3a,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-015.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-016,Visitor Registration Policy,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-01-22,2027-01-22,254,2733,9c0cce28e03640766469b692aa6779c99e35eb35ddf78fcebbbf1f086eca4bf7,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-016.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-017,Visitor Registration Policy,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-01-22,2027-01-22,248,2678,f632dbed22a9e1718d5cf088be87630e87bad6167b355c734f2433879cd7f64c,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-017.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-018,Guest Access Policy,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-05-24,2027-05-24,251,2707,4489a4a4c28eb6e93c18b7c88177009434997d4f144ec136559be674548c8206,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-018.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-019,Guest Access Policy,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-05-15,2027-05-15,251,2717,9a32381c329a38894f21cbc995e85e546d55edc84bd1ec3eaef0ad61d44c5489,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-019.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-020,Corporate Visitor Procedure,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-06-25,2027-06-25,252,2718,e6f68eb128a2f21d3e1f2661cfde08837fb792c261ff28048c57dedeff8eb822,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-020.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-021,Facility Visitor Standard,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-02-18,2027-02-18,252,2710,c49c0f277aea3511fa91e182d63f0974ad49ab192912e04c13c9d0fa47526500,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-021.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-022,Corporate Visitor Procedure,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-03-31,2027-03-31,250,2695,e9bd699e28b54e48cd33a4d7d04262e11ce90e7df37ad86c5729ee92d6c165aa,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-022.txt,"asset, building, facility, guest, physical security, reception, visitor"
ADM-VIS-023,Reception Security Policy,Administration,Visitor_Management,Visitor Management,Internal,Medium,Facilities Team,2026-02-21,2027-02-21,249,2703,4edff9a73e01e87b965ca1b049ca64b8ee5d3490302e8d00b8b3d341cffa076b,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Visitor_Management\ADM-VIS-023.txt,"asset, building, facility, guest, physical security, reception, visitor"
